Тендерная таблица по заявке Материалы для фасада ВВ Ресторан СпортЗал;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Поставщик:;Демушкин                       (ДревЛуга);;ЛесПромКом;;ЛесоБиржа;;Северный лес;;АрхЛес;;Термолес;;SGS Thermo;;Русский мастер;;Велес Вуд;;Массив Вуд;;;;;;;;;;;;;;;
;;;Комментарий:;Работает без НДС доска в наличии;;Цена с доставкой;;;;Цена без боставки;;;;;;;;;;Запрос по электронке;;Запрос по электронке;;;;;;;;;;;;;;;
;;;Контакт:;Владимир;;Николай;;Александр;;Мария;;Александр;;;;Стелла;;Петр;;;;;;;;;;;;;;;;;;;
;;;Телефон:;+7 960 247-11-87;;+7 921 866-99-92;;8 981 950 54 54;;8 9241 952 0117;;+7 981 007-76-51;;+7 (812) 335-22-85;;+7 995 622-55-10;;+79059955150;;"+7 (812) 245 - 16 - 20
+7 (911) 911 - 06 - 55";;+7 (812) 605-74-86;;;;;;;;;;;;;;;
;;;Сайт:;;;;;https://spb.lesobirzha.ru/katalog/brus/filter/wood_kind-termososna/;;https://sevles-spb.ru/catalog/imitatsiya_brusa_karelskiy_profil/imitatsiya_brusa_karelskiy_profil_av_20kh175kh6000_khvoya/?utm_referrer=https%3A%2F%2Fyandex.ru%2F;;https://arhles.net/?ysclid=mawm6692i0592917585;;https://termo-les.ru/catalog/termososna/;;https://sgsthermo.com/;;https://derevovdom.ru/category/termoobrabotannaya-drevesina/?utm_source=yandex&utm_medium=cpc&utm_campaign=search_spb%7C109822617&utm_term=термодерево%20спб&calltouch_tm=yd_c:109822617_gb:5436151556_ad:16072970418_ph:51559548648_st:search_pt:premium_p:1_s:none_dt:desktop_reg:2_ret:51559548648_apt:none&yclid=3037601792861405183;;https://www.veles-wood.ru/imitaciya-brusa-termo-sosna;;https://massive-wood.com/;;;;;;;;;;;;;;;
п/н;Наименование по Заявке;Кол-во;Ед.изм.;Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);Срок (дней);Стоимость с НДС (руб.);;;;;;
;Тендер Доска;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;доска естественной влажности 50х150х6000;6,5;м3;2;127 120,00;5;131 529,45;10;253 835,00;10;175 078,00;5;168 500,00;;;;;;;;;;;;;;;;;;;;;;;;
2;доска естественной влажности 50х200х6000;2;м3;2;39 620,00;5;40 470,60;10;88 780,00;10;53 150,28;5;57 414,00;;;;;;;;;;;;;;;;;;;;;;;;
;;;Итого:;;166 740,00 ?;;172 000,05 ?;;342 615,00 ?;;228 228,28 ?;;225 914,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;0,00 ?;;;;;;
